ID,startBin#,endBin#,width(bins),totalSpikeCount,peakBin,peakHeight(spikes),Interval(bins)
920,2003565,2003589,25,98187,2003578,6589,386
921,2004023,2004047,25,99670,2004036,6713,458
922,2005032,2005056,25,100880,2005045,6890,1009
923,2006410,2006434,25,100910,2006423,6929,1378
924,2009092,2009115,24,100833,2009105,6849,2682
925,2013534,2013558,25,101411,2013547,6946,4442
926,2015406,2015430,25,101432,2015419,6950,1872
927,2016184,2016207,24,101356,2016197,6955,778
928,2017405,2017429,25,101428,2017418,6989,1221
929,2018685,2018709,25,101433,2018698,6998,1280
930,2020351,2020374,24,101763,2020364,7133,1666
931,2020710,2020734,25,100581,2020723,6927,359
932,2023648,2023672,25,101777,2023661,7052,2938
933,2024192,2024215,24,101723,2024204,7019,543
934,2030011,2030034,24,102181,2030023,7226,5819
935,2031232,2031255,24,102145,2031244,7223,1221
936,2031662,2031685,24,102262,2031675,7200,431
937,2031987,2032011,25,101909,2032000,6959,325
938,2032936,2032959,24,102142,2032949,7217,949
939,2035714,2035737,24,102190,2035727,7231,2778
940,2036202,2036225,24,102157,2036214,7139,487
941,2037078,2037101,24,102170,2037090,7210,876
942,2041580,2041602,23,102504,2041592,7291,4502
943,2042098,2042121,24,102423,2042110,7297,518
944,2043564,2043586,23,102441,2043576,7345,1466
945,2044961,2044984,24,102482,2044973,7263,1397
946,2046739,2046762,24,102544,2046751,7254,1778
947,2047200,2047223,24,102469,2047213,7246,462
948,2048997,2049020,24,102523,2049010,7250,1797
949,2051153,2051176,24,103543,2051165,7399,2155
950,2051729,2051752,24,103311,2051742,7455,577
951,2052131,2052154,24,102848,2052144,7307,402
952,2053279,2053301,23,103418,2053291,7458,1147
953,2054229,2054252,24,103540,2054241,7441,950
954,2054760,2054782,23,103164,2054772,7426,531
955,2055100,2055123,24,102673,2055112,7175,340
956,2055545,2055568,24,102975,2055558,7273,446
957,2055921,2055944,24,102711,2055934,7225,376
958,2056234,2056257,24,102465,2056246,7148,312
959,2056889,2056912,24,103415,2056902,7361,656
